A,B,ratio
MAT,GT,0.029878057716472377
MAT,PAGP,0.04903743791411577
MAT,NCLH,-0.04489843435046662
MAT,BWA,0.02700419532014383
MAT,SEDG,0.12583328571588187
MAT,ENVX,0.021601325851192548
MAT,PARA,0.06177349248184217
MAT,FOXA,0.0607206770086324
MAT,PTEN,0.1645304159606125
MAT,DAR,0.08255106539052011
MAT,LBRT,-0.0005735248368859605
MAT,MOS,-0.010842860813923208
MAT,PCRX,-0.10710833021568134
MAT,CLF,0.019854963464767332
MAT,SAVA,-0.11652160031351448
MAT,CRGY,0.06676480912333274
MAT,TEVA,0.018350635238576135
MAT,WOLF,0.08472182756188636
MAT,BBIO,0.15522280103849892
MAT,NVAX,0.279340770780408
MAT,BAX,-0.03941832795509824
MAT,ET,0.009810051089908048
MAT,MP,0.06460403822775672
MAT,RUN,0.11714044042224665
MAT,XRAY,-0.06764846994816731
MAT,NI,-0.10024960795902954
MAT,XRX,-0.02767371054102622
MAT,EYE,-0.028013537747703602
MAT,EXC,-0.0005298081188160215
MAT,HPE,0.18564473467569892
MAT,BKR,-0.04021483212033186
MAT,VSAT,0.021441592103477285
MAT,KDP,-0.08945659004939228
MAT,HOG,-0.005503871390986083
MAT,EQT,-0.03346390395761448
MAT,GEO,-0.036023066623947886
MAT,F,-0.091610409033438
MAT,UGI,-0.09316658336370161
MAT,FE,-0.11780636162099001
MAT,KHC,-0.08383100201635033
MAT,KOSS,0.3619564322213449
MAT,CNP,-0.014857300340557881
MAT,ARRY,0.1330483177333671
MAT,RIVN,0.046262876161362876
MAT,VFC,0.04389655791061434
MAT,FLEX,0.024094871253506303
MAT,NOV,-0.012024521848271911
MAT,CRK,0.02639034545881754
MAT,CHX,0.008372531106418465
MAT,SMR,0.17425538917228897
MAT,AAL,-0.035961221743922196
MAT,PAA,0.06392931396741068
MAT,CCL,-0.060503320136677315
MAT,PFE,0.11865184495644512
MAT,AES,-0.045128751833586354
MAT,KMI,0.03601295627680077
MAT,GLW,0.11430194999329225
MAT,CAG,-0.04442959425790584
MAT,ALGM,0.14709149016982723
MAT,ENB,-0.07010533534582507
MAT,ADMA,0.15579216660491818
MAT,PCG,-0.03463823005828042
MAT,APA,0.07743166597767671
MAT,EPD,0.07937437641229989
MAT,CENX,0.05905683199861048
MAT,NVST,0.041295160227947034
MAT,X,0.010509479163536206
MAT,TXG,-0.02785257318890806
MAT,FLNC,-0.0016437860305746974
MAT,ELAN,-0.08372844602558205
MAT,PPL,-0.056185490835866686
MAT,SPR,-0.11894941463765134
MAT,AR,0.034638123158893475
MAT,AM,0.01195859531363009
MAT,ASTS,0.2296096484573909
MAT,PR,0.043667626372819617
MAT,VZIO,-0.1010720880969359
MAT,T,-0.011472360792240736
MAT,LSXMA,-0.07613541511931805
MAT,TGTX,-0.03887697372997287
MAT,ETRN,0.0430900017546776
MAT,CTRA,-0.028172371028210495
MAT,GTES,-0.01660210189265964
MAT,AVTR,-0.13927821043050445
MAT,VTRS,0.048730179088255235
MAT,GPK,-0.04518119241092881
MAT,DO,0.0656118434927638
MAT,BE,0.036297913905356326
MAT,NEP,0.15144787897830375
MAT,RPRX,0.0677894403679206
MAT,HPQ,0.17928099186108412
MAT,CSX,-0.011460131001562176
MAT,NFE,-0.07452983698870423
MAT,BTU,0.01681896945349913
MAT,ROIV,0.018829799280679675
MAT,MRO,-0.02149449045630142
MAT,LUV,-0.013199538048649321
