A,B,ratio
MAT,KVUE,-0.012531772671428666
MAT,INTC,0.029719953761558875
MAT,NNE,0.5074764909051521
MAT,HAL,0.019106733204171035
MAT,NWSA,-0.03323191010489255
MAT,FTI,0.026242361223927067
MAT,TNDM,0.08885755410923793
MAT,EXTR,0.1516500177776088
MAT,LEVI,0.07482700282091304
GT,PAGP,0.019159380197643405
GT,NCLH,-0.074776492066939
GT,BWA,-0.002887322950712324
GT,SEDG,0.09594176744502568
GT,ENVX,-0.008276731865279831
GT,PARA,0.031895434765369796
GT,FOXA,0.030829158737776245
GT,PTEN,0.13465235824414012
GT,DAR,0.052659547119663946
GT,LBRT,-0.030465043107742118
GT,MOS,-0.04073437908477937
GT,PCRX,-0.1369863879321537
GT,CLF,-0.010023094251705012
GT,SAVA,-0.14639965802998686
GT,CRGY,0.036886751406860346
GT,TEVA,-0.011527422477896279
GT,WOLF,0.054830309291030235
GT,BBIO,0.12533128276764277
GT,NVAX,0.24946271306393558
GT,BAX,-0.06930984622595442
GT,ET,-0.020068006626564296
GT,MP,0.034725980511284345
GT,RUN,0.08726238270577431
GT,XRAY,-0.09753998821902349
GT,NI,-0.1301411262298857
GT,XRX,-0.0575517682574986
GT,EYE,-0.05789159546417597
GT,EXC,-0.030421326389672185
GT,HPE,0.15575321640484274
GT,BKR,-0.07010635039118802
GT,VSAT,-0.008436465612995091
GT,KDP,-0.11934810832024843
GT,HOG,-0.03539538966184226
GT,EQT,-0.06335542222847064
GT,GEO,-0.06590112434042028
GT,F,-0.12148846674991039
GT,UGI,-0.12305810163455778
GT,FE,-0.14769787989184618
GT,KHC,-0.1137225202872065
GT,KOSS,0.33207837450487243
GT,CNP,-0.04474881861141403
GT,ARRY,0.1031702600168947
GT,RIVN,0.016384818444890512
GT,VFC,0.014018500194141963
GT,FLEX,-0.005796647017349872
GT,NOV,-0.04190257956474429
GT,CRK,-0.0034877122576548424
GT,CHX,-0.021518987164437692
GT,SMR,0.1443773314558166
GT,AAL,-0.06583927946039461
GT,PAA,0.034051256250938314
GT,CCL,-0.09038137785314966
GT,PFE,0.08876032668558895
GT,AES,-0.07500680955005871
GT,KMI,0.0061348985603283356
GT,GLW,0.08441043172243604
GT,CAG,-0.07432111252876197
GT,ALGM,0.11719997189897106
GT,ENB,-0.09999685361668124
GT,ADMA,0.12591410888844579
GT,PCG,-0.0645162877747528
GT,APA,0.04754014770682058
GT,EPD,0.04948285814144365
GT,CENX,0.029178774282138102
GT,NVST,0.011417102511474656
GT,X,-0.019382039107319952
GT,TXG,-0.05773063090538044
GT,FLNC,-0.031535304301430866
GT,ELAN,-0.11360650374205443
GT,PPL,-0.08607700910672285
GT,SPR,-0.14884093290850745
GT,AR,0.0047466048880373014
GT,AM,-0.01791946240284231
GT,ASTS,0.19973159074091854
GT,PR,0.013789568656347218
GT,VZIO,-0.13095014581340825
GT,T,-0.0413504185087131
GT,LSXMA,-0.10602693339017422
GT,TGTX,-0.06875503144644524
GT,ETRN,0.013211944038205138
GT,CTRA,-0.05806388929906665
GT,GTES,-0.04648015960913202
GT,AVTR,-0.16916972870136057
GT,VTRS,0.01885212137178282
GT,GPK,-0.07507271068178496
GT,DO,0.0357337857762914
GT,BE,0.006419856188883953
GT,NEP,0.1215563607074476
GT,RPRX,0.03789792209706441
GT,HPQ,0.14938947359022797
GT,CSX,-0.041351649272418384
GT,NFE,-0.10442135525956041
GT,BTU,-0.013072548817357045
GT,ROIV,-0.01104825843579268
GT,MRO,-0.051386008727157574
GT,LUV,-0.04309105631950548
GT,KVUE,-0.042409830387901054
GT,INTC,-0.0001715645092972967
GT,NNE,0.042030888650130986
GT,HAL,-0.01078478506668512
GT,NWSA,-0.06312342837574883
GT,FTI,-0.0036491570469291104
GT,TNDM,0.058979496392765604
GT,EXTR,0.12177196006113641
GT,LEVI,0.044935484550056894
PAGP,NCLH,-0.09393587226458239
PAGP,BWA,-0.02701821232005153
PAGP,SEDG,0.07181087807568647
PAGP,ENVX,-0.02743611206292322
PAGP,PARA,0.012736054567726382
PAGP,FOXA,0.006698269368437017
PAGP,PTEN,0.11549297804649673
PAGP,DAR,0.02852865775032472
PAGP,LBRT,-0.05459593247708135
PAGP,MOS,-0.06486526845411861
PAGP,PCRX,-0.1561457681297971
PAGP,CLF,-0.029182474449348433
PAGP,SAVA,-0.16555903822763018
PAGP,CRGY,0.017727371209216986
PAGP,TEVA,-0.030686802675539682
PAGP,WOLF,0.030699419921691003
PAGP,BBIO,0.10120039339830356
PAGP,NVAX,0.2303033328662922
PAGP,BAX,-0.09344073559529363
PAGP,ET,-0.03922738682420772
PAGP,MP,0.015566600313640943
PAGP,RUN,0.06810300250813091
PAGP,XRAY,-0.12167087758836266
PAGP,NI,-0.15427201559922493
PAGP,XRX,-0.07671114845514199
PAGP,EYE,-0.07705097566181937
PAGP,EXC,-0.05455221575901142
PAGP,HPE,0.13162232703550353
PAGP,BKR,-0.09423723976052725
PAGP,VSAT,-0.027595845810638515
PAGP,KDP,-0.14347899768958766
PAGP,HOG,-0.05952627903118146
PAGP,EQT,-0.08748631159780985
PAGP,GEO,-0.08506050453806369
PAGP,F,-0.14064784694755378
PAGP,UGI,-0.14718899100389696
PAGP,FE,-0.17182876926118537
PAGP,KHC,-0.13785340965654572
PAGP,KOSS,0.3129189943072291
PAGP,CNP,-0.06887970798075328
PAGP,ARRY,0.08401087981925125
PAGP,RIVN,-0.002774561752752895
PAGP,VFC,-0.005140880003501439
PAGP,FLEX,-0.02992753638668907
PAGP,NOV,-0.0610619597623877
PAGP,CRK,-0.022647092455298223
PAGP,CHX,-0.04564987653377692
PAGP,SMR,0.1252179512581732
PAGP,AAL,-0.08499865965803799
PAGP,PAA,0.014891876053294914
PAGP,CCL,-0.10954075805079307
PAGP,PFE,0.06462943731624975
PAGP,AES,-0.09416618974770212
PAGP,KMI,-0.013024481637315028
PAGP,GLW,0.06027954235309686
PAGP,CAG,-0.09845200189810124
PAGP,ALGM,0.09306908252963188
PAGP,ENB,-0.12412774298602045
PAGP,ADMA,0.10675472869080238
PAGP,PCG,-0.08367566797239619
PAGP,APA,0.023409258337481385
PAGP,EPD,0.02535196877210447
PAGP,CENX,0.010019394084494706
PAGP,NVST,-0.007742277686168771
PAGP,X,-0.04351292847665916
PAGP,TXG,-0.07689001110302383
PAGP,FLNC,-0.05566619367077011
PAGP,ELAN,-0.13276588393969785
PAGP,PPL,-0.11020789847606208
PAGP,SPR,-0.17297182227784672
PAGP,AR,-0.0193842844813019
PAGP,AM,-0.03707884260048569
PAGP,ASTS,0.18057221054327513
PAGP,PR,-0.005369811541296144
PAGP,VZIO,-0.1501095260110517
PAGP,T,-0.06050979870635652
PAGP,LSXMA,-0.13015782275951343
PAGP,TGTX,-0.08791441164408861
PAGP,ETRN,-0.005947436159438193
PAGP,CTRA,-0.08219477866840585
PAGP,GTES,-0.06563953980677543
PAGP,AVTR,-0.19330061807069981
PAGP,VTRS,-0.00030725882586052946
PAGP,GPK,-0.09920360005112419
PAGP,DO,0.016574405578648015
PAGP,BE,-0.012739524008759428
PAGP,NEP,0.09742547133810835
PAGP,RPRX,0.013767032727725193
PAGP,HPQ,0.12525858422088873
PAGP,CSX,-0.06548253864175754
PAGP,NFE,-0.1285522446288996
PAGP,BTU,-0.037203438186696275
PAGP,ROIV,-0.030207638633436104
PAGP,MRO,-0.07551689809649681
PAGP,LUV,-0.06722194568884468
PAGP,KVUE,-0.061569210585544445
PAGP,INTC,-0.024302453878636516
PAGP,NNE,-0.06855300824783353
PAGP,HAL,-0.03491567443602433
PAGP,NWSA,-0.08725431774508798
PAGP,FTI,-0.02778004641626831
PAGP,TNDM,0.03982011619512218
PAGP,EXTR,0.10261257986349302
PAGP,LEVI,0.020804595180717693
NCLH,BWA,0.06953632489650659
NCLH,SEDG,0.16836541529224458
NCLH,ENVX,0.06649976020165918
NCLH,PARA,0.10667192683230879
NCLH,FOXA,0.10325280658499518
NCLH,PTEN,0.2094288503110791
NCLH,DAR,0.1250831949668829
NCLH,LBRT,0.04195860473947679
NCLH,MOS,0.03168926876243956
NCLH,PCRX,-0.0622098958652147
NCLH,CLF,0.06475339781523397
NCLH,SAVA,-0.07162316596304782
NCLH,CRGY,0.11166324347379933
NCLH,TEVA,0.06324906958904272
NCLH,WOLF,0.12725395713824916
NCLH,BBIO,0.19775493061486163
NCLH,NVAX,0.3242392051308746
NCLH,BAX,0.003113801621264514
NCLH,ET,0.05470848544037467
NCLH,MP,0.10950247257822335
NCLH,RUN,0.16203887477271328
NCLH,XRAY,-0.025116340371804578
NCLH,NI,-0.0577174783826668
NCLH,XRX,0.01722472380944041
NCLH,EYE,0.016884896602763034
NCLH,EXC,0.04200232145754675
NCLH,HPE,0.22817686425206166
NCLH,BKR,0.002317297456030886
NCLH,VSAT,0.06634002645394392
NCLH,KDP,-0.04692446047302952
NCLH,HOG,0.037028258185376674
NCLH,EQT,0.009068225618748264
NCLH,GEO,0.008875367726518701
NCLH,F,-0.04671197468297136
NCLH,UGI,-0.050634453787338836
NCLH,FE,-0.07527423204462726
NCLH,KHC,-0.04129887243998759
NCLH,KOSS,0.4068548665718114
NCLH,CNP,0.027674829235804874
NCLH,ARRY,0.17794675208383376
NCLH,RIVN,0.09116131051182946
NCLH,VFC,0.08879499226108101
NCLH,FLEX,0.06662700082986907
NCLH,NOV,0.03287391250219471
NCLH,CRK,0.07128877980928416
NCLH,CHX,0.05090466068278122
NCLH,SMR,0.21915382352275561
NCLH,AAL,0.008937212606544424
NCLH,PAA,0.10882774831787732
NCLH,CCL,-0.015604885786210679
NCLH,PFE,0.16118397453280783
NCLH,AES,-0.00023031748311970967
NCLH,KMI,0.08091139062726738
NCLH,GLW,0.15683407956965498
NCLH,CAG,-0.0018974646815430943
NCLH,ALGM,0.18962361974618996
NCLH,ENB,-0.027573205769462324
NCLH,ADMA,0.20069060095538477
NCLH,PCG,0.010260204292186208
NCLH,APA,0.11996379555403949
NCLH,EPD,0.12190650598866261
NCLH,CENX,0.1039552663490771
NCLH,NVST,0.08619359457841368
NCLH,X,0.05304160873989897
NCLH,TXG,0.017045861161558595
NCLH,FLNC,0.040888343545788075
NCLH,ELAN,-0.03883001167511543
NCLH,PPL,-0.013653361259503933
NCLH,SPR,-0.07641728506128857
NCLH,AR,0.07717025273525624
NCLH,AM,0.05685702966409671
NCLH,ASTS,0.27450808280785755
NCLH,PR,0.08856606072328625
NCLH,VZIO,-0.05617365374646927
NCLH,T,0.033426073558225876
NCLH,LSXMA,-0.03360328554295531
NCLH,TGTX,0.0060214606204937625
NCLH,ETRN,0.0879884361051442
NCLH,CTRA,0.014359758548152265
NCLH,GTES,0.028296332457807015
NCLH,AVTR,-0.09674608085414166
NCLH,VTRS,0.09362861343872185
NCLH,GPK,-0.0026490628345660697
NCLH,DO,0.11051027784323042
NCLH,BE,0.08119634825582295
NCLH,NEP,0.19398000855466652
NCLH,RPRX,0.11032156994428333
NCLH,HPQ,0.22181312143744691
NCLH,CSX,0.031071998574800575
NCLH,NFE,-0.0319977074123415
NCLH,BTU,0.059351099029861874
NCLH,ROIV,0.0637282336311463
NCLH,MRO,0.021037639120061322
NCLH,LUV,0.029332591527713454
NCLH,KVUE,0.03236666167903793
NCLH,INTC,0.07225208333792163
NCLH,NNE,0.05542149100139104
NCLH,HAL,0.0616388627805338
NCLH,NWSA,0.00930021947147018
NCLH,FTI,0.06877449080028981
NCLH,TNDM,0.1337559884597046
NCLH,EXTR,0.19654845212807542
NCLH,LEVI,0.11735913239727581
BWA,SEDG,0.098829090395738
BWA,ENVX,-0.0010105144555235526
BWA,PARA,0.03618480794361297
BWA,FOXA,0.03371648168848857
BWA,PTEN,0.1384412401330203
BWA,DAR,0.05554687007037627
BWA,LBRT,-0.027577720157029816
BWA,MOS,-0.03784705613406705
BWA,PCRX,-0.13476729126403728
BWA,CLF,-0.006060639780618555
BWA,SAVA,-0.14373775996325688
BWA,CRGY,0.04289742160066839
BWA,TEVA,-0.004123160124637043
BWA,WOLF,0.057717632241742554
BWA,BBIO,0.12821860571835508
BWA,NVAX,0.2560583885867006
BWA,BAX,-0.06642252327524205
BWA,ET,-0.012501552289501552
BWA,MP,0.03867133528222566
BWA,RUN,0.0919861007246698
BWA,XRAY,-0.09465266526831118
BWA,NI,-0.12725380327917338
BWA,XRX,-0.05490887262153267
BWA,EYE,-0.05528667054011818
BWA,EXC,-0.027534003438959856
BWA,HPE,0.15864053935555508
BWA,BKR,-0.0672190274404757
BWA,VSAT,-0.004853021661270638
BWA,KDP,-0.11646078536953612
BWA,HOG,-0.03250806671112987
BWA,EQT,-0.060468099277758314
BWA,GEO,-0.05897417369036496
BWA,F,-0.11527898195129706
BWA,UGI,-0.12017077868384539
BWA,FE,-0.14481055694113384
BWA,KHC,-0.11083519733649418
BWA,KOSS,0.3414636407458525
BWA,CNP,-0.0418614956607017
BWA,ARRY,0.10671811499681212
BWA,RIVN,0.021263528460117247
BWA,VFC,0.01757092700421045
BWA,FLEX,-0.0029093240666375354
BWA,NOV,-0.03751704284327661
BWA,CRK,0.0023272239237223345
BWA,CHX,-0.018631664213725373
BWA,SMR,0.15265787360569757
BWA,AAL,-0.06306816369376864
BWA,PAA,0.04198273167116742
BWA,CCL,-0.08409706305839246
BWA,PFE,0.09164764963630127
BWA,AES,-0.06963810036727613
BWA,KMI,0.013750856597274706
BWA,GLW,0.08729775467314838
BWA,CAG,-0.07143378957804972
BWA,ALGM,0.12008729484968339
BWA,ENB,-0.09710953066596892
BWA,ADMA,0.1340978827288319
BWA,PCG,-0.05928292454267563
BWA,APA,0.050427470657532905
BWA,EPD,0.05237018109215602
BWA,CENX,0.03708648149764134
BWA,NVST,0.01445754523927043
BWA,X,-0.016494716156607598
BWA,TXG,-0.05510488773381291
BWA,FLNC,-0.028647981350718537
BWA,ELAN,-0.10853471827400119
BWA,PPL,-0.08318968615601059
BWA,SPR,-0.14595360995779513
BWA,AR,0.007633927838749604
BWA,AM,-0.010581831668048554
BWA,ASTS,0.20828094889662738
BWA,PR,0.020490429071289517
BWA,VZIO,-0.12421070200990812
BWA,T,-0.034224660306365534
BWA,LSXMA,-0.10313961043946196
BWA,TGTX,-0.062162526339564296
BWA,ETRN,0.01986694624600599
BWA,CTRA,-0.05517656634835433
BWA,GTES,-0.04042075941574105
BWA,AVTR,-0.16628240575064823
BWA,VTRS,0.023481334154150952
BWA,GPK,-0.07218538773107273
BWA,DO,0.042560473570449654
BWA,BE,0.011232939633837846
BWA,NEP,0.12444368365815993
BWA,RPRX,0.040785245047776725
BWA,HPQ,0.15227679654094034
BWA,CSX,-0.038464326321705995
BWA,NFE,-0.10153403230884807
BWA,BTU,-0.010185225866644726
BWA,ROIV,-0.006085119981887015
BWA,MRO,-0.04849868577644527
BWA,LUV,-0.04020373336879314
BWA,KVUE,-0.039303147386511646
BWA,INTC,0.0027157584414150143
BWA,NNE,0.6169539756107983
BWA,HAL,-0.007897462115972797
BWA,NWSA,-0.06023610542503644
BWA,FTI,-0.0007618340962167736
BWA,TNDM,0.06533678131385781
BWA,EXTR,0.12598856287403276
BWA,LEVI,0.04782280750076925
SEDG,ENVX,-0.09983960485126159
SEDG,PARA,-0.06264428245212503
SEDG,FOXA,-0.06511260870724944
SEDG,PTEN,0.03961214973728232
SEDG,DAR,-0.04328222032536173
SEDG,LBRT,-0.12640681055276778
SEDG,MOS,-0.13667614652980506
SEDG,PCRX,-0.23359638165977523
SEDG,CLF,-0.10488973017635658
SEDG,SAVA,-0.24256685035899486
SEDG,CRGY,-0.055931668795069604
SEDG,TEVA,-0.10295225052037514
SEDG,WOLF,-0.04111145815399545
SEDG,BBIO,0.029389515322617077
SEDG,NVAX,0.15722929819096254
SEDG,BAX,-0.1652516136709801
SEDG,ET,-0.11133064268523958
SEDG,MP,-0.060157755113512346
SEDG,RUN,-0.006842989671068197
SEDG,XRAY,-0.1934817556640492
SEDG,NI,-0.22608289367491138
SEDG,XRX,-0.15373796301727066
SEDG,EYE,-0.1541157609358562
SEDG,EXC,-0.12636309383469785
SEDG,HPE,0.059811448959817055
SEDG,BKR,-0.16604811783621368
SEDG,VSAT,-0.10368211205700861
SEDG,KDP,-0.2152898757652741
SEDG,HOG,-0.1313371571068679
SEDG,EQT,-0.1592971896734963
SEDG,GEO,-0.15780326408610293
SEDG,F,-0.21410807234703505
SEDG,UGI,-0.21899986907958346
SEDG,FE,-0.24363964733687182
SEDG,KHC,-0.20966428773223217
SEDG,KOSS,0.24263455035011444
SEDG,CNP,-0.14069058605643972
SEDG,ARRY,0.007889024601074126
SEDG,RIVN,-0.07756556193562075
SEDG,VFC,-0.08125816339152755
SEDG,FLEX,-0.10173841446237554
SEDG,NOV,-0.1363461332390146
SEDG,CRK,-0.09650186647201568
SEDG,CHX,-0.11746075460946336
SEDG,SMR,0.05382878320995954
SEDG,AAL,-0.1618972540895066
SEDG,PAA,-0.056846358724570535
SEDG,CCL,-0.18292615345413046
SEDG,PFE,-0.007181440759436723
SEDG,AES,-0.16846719076301409
SEDG,KMI,-0.0850782337984633
SEDG,GLW,-0.011531335722589619
SEDG,CAG,-0.17026287997378775
SEDG,ALGM,0.021258204453945388
SEDG,ENB,-0.19593862106170692
SEDG,ADMA,0.03526879233309393
SEDG,PCG,-0.15811201493841362
SEDG,APA,-0.048401619738205094
SEDG,EPD,-0.046458909303581986
SEDG,CENX,-0.06174260889809666
SEDG,NVST,-0.08437154515646757
SEDG,X,-0.11532380655234557
SEDG,TXG,-0.15393397812955092
SEDG,FLNC,-0.12747707174645653
SEDG,ELAN,-0.20736380866973914
SEDG,PPL,-0.18201877655174853
SEDG,SPR,-0.24478270035353314
SEDG,AR,-0.09119516255698837
SEDG,AM,-0.10941092206378655
SEDG,ASTS,0.10945185850088938
SEDG,PR,-0.07833866132444844
SEDG,VZIO,-0.223039792405646
SEDG,T,-0.13305375070210348
SEDG,LSXMA,-0.2019687008351999
SEDG,TGTX,-0.16099161673530232
SEDG,ETRN,-0.07896214414973204
SEDG,CTRA,-0.1540056567440923
SEDG,GTES,-0.1392498498114791
SEDG,AVTR,-0.26511149614638624
SEDG,VTRS,-0.07534775624158707
SEDG,GPK,-0.17101447812681062
SEDG,DO,-0.056268616825288297
SEDG,BE,-0.08759615076190011
SEDG,NEP,0.025614593262421905
SEDG,RPRX,-0.058043845347961254
SEDG,HPQ,0.05344770614520227
SEDG,CSX,-0.13729341671744405
SEDG,NFE,-0.20036312270458606
SEDG,BTU,-0.10901431626238271
SEDG,ROIV,-0.10491421037762494
SEDG,MRO,-0.14732777617218323
SEDG,LUV,-0.13903282376453113
SEDG,KVUE,-0.13813223778224964
SEDG,INTC,-0.09611333195432296
SEDG,NNE,0.5056615673953135
SEDG,HAL,-0.10672655251171083
SEDG,NWSA,-0.15906519582077436
SEDG,FTI,-0.09959092449195474
SEDG,TNDM,-0.033492309081880146
SEDG,EXTR,0.027159472478294772
SEDG,LEVI,-0.051006282894968745
ENVX,PARA,0.04017216663064964
ENVX,FOXA,0.03472699614401212
ENVX,PTEN,0.14292909010941998
ENVX,DAR,0.05655738452589984
ENVX,LBRT,-0.026567205701506263
ENVX,MOS,-0.03683654167854349
ENVX,PCRX,-0.12870965606687387
ENVX,CLF,-0.0017463623864252145
ENVX,SAVA,-0.13812292616470695
ENVX,CRGY,0.04516348327214019
ENVX,TEVA,-0.0032506906126164286
ENVX,WOLF,0.058728146697266094
ENVX,BBIO,0.12922912017387864
ENVX,NVAX,0.25773944492921547
ENVX,BAX,-0.06541200881971855
ENVX,ET,-0.011791274761284446
ENVX,MP,0.04300271237656418
ENVX,RUN,0.09553911457105413
ENVX,XRAY,-0.09364215081278762
ENVX,NI,-0.12624328882364982
ENVX,XRX,-0.04927503639221876
ENVX,EYE,-0.04961486359889617
ENVX,EXC,-0.026523488983436306
ENVX,HPE,0.15965105381107864
ENVX,BKR,-0.06620851298495214
ENVX,VSAT,-0.00015973374771525872
ENVX,KDP,-0.11545027091401255
ENVX,HOG,-0.03149755225560639
ENVX,EQT,-0.05945758482223475
ENVX,GEO,-0.0576243924751405
ENVX,F,-0.11321173488463052
ENVX,UGI,-0.11916026422832186
ENVX,FE,-0.1438000424856103
ENVX,KHC,-0.10982468288097062
ENVX,KOSS,0.34035510637015226
ENVX,CNP,-0.04085098120517817
ENVX,ARRY,0.11144699188217454
ENVX,RIVN,0.024661550310170345
ENVX,VFC,0.02229523205942178
ENVX,FLEX,-0.0018988096111139654
ENVX,NOV,-0.033625847699464466
ENVX,CRK,0.0047890196076249905
ENVX,CHX,-0.017621149758201813
ENVX,SMR,0.15265406332109643
ENVX,AAL,-0.05756254759511474
ENVX,PAA,0.04232798811621813
ENVX,CCL,-0.08210464598786985
ENVX,PFE,0.09265816409182481
ENVX,AES,-0.06673007768477889
ENVX,KMI,0.014411630425608203
ENVX,GLW,0.08830826912867194
ENVX,CAG,-0.07042327512252615
ENVX,ALGM,0.12109780930520693
ENVX,ENB,-0.09609901621044534
ENVX,ADMA,0.13419084075372562
ENVX,PCG,-0.056239555909472966
ENVX,APA,0.051437985113056466
ENVX,EPD,0.053380695547679574
ENVX,CENX,0.03745550614741792
ENVX,NVST,0.019693834376754486
ENVX,X,-0.015484201701084081
ENVX,TXG,-0.049453899040100606
ENVX,FLNC,-0.02763746689519498
ENVX,ELAN,-0.10532977187677466
ENVX,PPL,-0.08217917170048697
ENVX,SPR,-0.14494309550227163
ENVX,AR,0.008644442294273191
ENVX,AM,-0.00964273053756251
ENVX,ASTS,0.20800832260619836
ENVX,PR,0.022066300521627086
ENVX,VZIO,-0.1226734139481284
ENVX,T,-0.03307368664343332
ENVX,LSXMA,-0.10212909598393834
ENVX,TGTX,-0.060478299581165414
ENVX,ETRN,0.02148867590348502
ENVX,CTRA,-0.054166051892830774
ENVX,GTES,-0.03820342774385214
ENVX,AVTR,-0.16527189129512473
ENVX,VTRS,0.027128853237062704
ENVX,GPK,-0.0711748732755491
ENVX,DO,0.04401051764157124
ENVX,BE,0.01469658805416378
ENVX,NEP,0.12545419811368347
ENVX,RPRX,0.0417957595033003
ENVX,HPQ,0.1532873109964638
ENVX,CSX,-0.037453811866182476
ENVX,NFE,-0.1005235178533245
ENVX,BTU,-0.009174711411121146
ENVX,ROIV,-0.0027715265705128903
ENVX,MRO,-0.0474881713209217
ENVX,LUV,-0.03919321891326957
ENVX,KVUE,-0.03413309852262121
ENVX,INTC,0.0037262728969385795
ENVX,NNE,0.26124673683844835
ENVX,HAL,-0.006886947660449243
ENVX,NWSA,-0.0592255909695129
ENVX,FTI,0.000248680359306779
ENVX,TNDM,0.06725622825804535
ENVX,EXTR,0.1300486919264163
ENVX,LEVI,0.04883332195629282
PARA,FOXA,-0.002468326255124375
PARA,PTEN,0.10275692347877034
PARA,DAR,0.019362062126763308
PARA,LBRT,-0.06376252810064278
PARA,MOS,-0.07403186407768002
PARA,PCRX,-0.1688818226975235
PARA,CLF,-0.04191852901707485
PARA,SAVA,-0.1782950927953566
PARA,CRGY,0.004991316641490549
PARA,TEVA,-0.04342285724326607
PARA,WOLF,0.021532824298129565
PARA,BBIO,0.0920337977747421
PARA,NVAX,0.2175672782985658
PARA,BAX,-0.10260733121885501
PARA,ET,-0.051963441391934186
PARA,MP,0.002830545745914547
PARA,RUN,0.0553669479404045
PARA,XRAY,-0.1308374732119241
PARA,NI,-0.16343861122278638
PARA,XRX,-0.0894472030228684
PARA,EYE,-0.08978703022954578
PARA,EXC,-0.06371881138257283
PARA,HPE,0.12245573141194208
PARA,BKR,-0.10340383538408866
PARA,VSAT,-0.040331900378364885
PARA,KDP,-0.1526455933131491
PARA,HOG,-0.06869287465474289
PARA,EQT,-0.09665290722137126
PARA,GEO,-0.09779655910579008
PARA,F,-0.1533839015152802
PARA,UGI,-0.15635558662745835
PARA,FE,-0.18099536488474682
PARA,KHC,-0.1470200052801071
PARA,KOSS,0.3001829397395027
PARA,CNP,-0.07804630360431468
PARA,ARRY,0.0712748252515249
PARA,RIVN,-0.015510616320479302
PARA,VFC,-0.017876934571227847
PARA,FLEX,-0.03909413201025052
PARA,NOV,-0.07379801433011408
PARA,CRK,-0.03538314702302464
PARA,CHX,-0.05481647215733833
PARA,SMR,0.11248189669044682
PARA,AAL,-0.09773471422576442
PARA,PAA,0.00215582148556851
PARA,CCL,-0.12227681261851948
